微信支付账单明细,,,,,,,,,,
微信昵称：[测试],,,,,,,,,,
起始时间：[2026-08-01 00:00:00] 终止时间：[2026-09-15 23:59:59],,,,,,,,,,
导出类型：[全部],,,,,,,,,,
导出时间：[2026-09-16 09:00:00],,,,,,,,,,
,,,,,,,,,,
共13笔记录,,,,,,,,,,
收入：1笔 500.00元,,,,,,,,,,
支出：11笔 1084.50元,,,,,,,,,,
中性交易：1笔 500.00元,,,,,,,,,,
注：,,,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,,,
,,,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-08-03 12:15:26,商户消费,星巴克,拿铁,支出,¥31.00,零钱,支付成功,4200002000202608031234567890,4200001234567801,/
2026-08-05 18:40:12,扫二维码付款,云膳过桥米线(传奇广场店),"总共消费:15.00,含配送费",支出,¥15.00,零钱通,已转账,4200002000202608051840123456,/,/
2026-08-09 21:02:33,商户消费,瑞幸咖啡,生椰拿铁,支出,¥19.90,中国银行(1234),支付成功,4200002000202608092102334455,4200001234567802,/
2026-08-12 08:20:05,扫二维码付款,武汉地铁,乘车码,支出,¥4.00,零钱,已转账,4200002000202608120820056677,/,/
2026-08-15 14:05:47,商户消费,拼多多,商品:日用品,支出,¥89.00,工商银行(9876),支付成功,4200002000202608151405477788,4200001234567803,/
2026-08-20 19:30:00,扫二维码付款,蜜雪冰城,冰淇淋,支出,¥6.00,零钱,已转账,/,/,/
2026-08-25 10:12:00,微信红包,妈妈,/,收入,¥500.00,/,已存入零钱,4200002000202608251012009900,/,/
2026-08-28 00:06:35,转账,房东,"转账备注:微信转账",支出,¥800.00,零钱通,朋友已收钱,4200002000202608280006351234,/,/
2026-09-01 10:00:00,零钱提现,招商银行(),"/",/,¥500.00,工商银行,提现已到账,4200002000202609011000001111,/,"服务费¥0.50"
2026-09-05 12:30:27,商户消费,星巴克,拿铁,支出,¥31.00,零钱,支付成功,4200002000202609051230271234,4200001234567805,/
2026-09-08 09:15:00,扫二维码付款,滴滴出行,打车费,支出,¥18.00,零钱通,已转账,4200002000202609080915005511,/,/
2026-09-10 20:45:12,商户消费,腾讯视频,会员续费,支出,¥25.00,零钱,支付成功,4200002000202609102045126622,4200001234567806,/
2026-09-12 16:20:00,商户消费,拼多多,商品:文具,支出,¥45.60,零钱,支付成功,"4200002000202609121620007733"	,"4200001234567807"	,"学习用品"
共13笔记录,,,,,,,,,,
